No,지역,지역,매입자연령대,2019년 1월,2019년 1월,2019년 2월,2019년 2월,2019년 3월,2019년 3월,2019년 4월,2019년 4월,2019년 5월,2019년 5월,2019년 6월,2019년 6월,2019년 7월,2019년 7월,2019년 8월,2019년 8월,2019년 9월,2019년 9월,2019년 10월,2019년 10월,2019년 11월,2019년 11월,2019년 12월,2019년 12월,2020년 1월,2020년 1월,2020년 2월,2020년 2월,2020년 3월,2020년 3월,2020년 4월,2020년 4월,2020년 5월,2020년 5월,2020년 6월,2020년 6월,2020년 7월,2020년 7월,2020년 8월,2020년 8월,2020년 9월,2020년 9월,2020년 10월,2020년 10월,2020년 11월,2020년 11월,2020년 12월,2020년 12월,2021년 1월,2021년 1월,2021년 2월,2021년 2월,2021년 3월,2021년 3월,2021년 4월,2021년 4월,2021년 5월,2021년 5월,2021년 6월,2021년 6월,2021년 7월,2021년 7월,2021년 8월,2021년 8월,2021년 9월,2021년 9월,2021년 10월,2021년 10월,2021년 11월,2021년 11월,2021년 12월,2021년 12월,2022년 1월,2022년 1월,2022년 2월,2022년 2월,2022년 3월,2022년 3월,2022년 4월,2022년 4월,2022년 5월,2022년 5월,2022년 6월,2022년 6월,2022년 7월,2022년 7월,2022년 8월,2022년 8월,2022년 9월,2022년 9월,2022년 10월,2022년 10월,2022년 11월,2022년 11월,2022년 12월,2022년 12월,2023년 1월,2023년 1월,2023년 2월,2023년 2월,2023년 3월,2023년 3월,2023년 4월,2023년 4월,2023년 5월,2023년 5월,2023년 6월,2023년 6월,2023년 7월,2023년 7월,2023년 8월,2023년 8월,2023년 9월,2023년 9월,2023년 10월,2023년 10월,2023년 11월,2023년 11월,2023년 12월,2023년 12월,2024년 1월,2024년 1월,2024년 2월,2024년 2월,2024년 3월,2024년 3월,2024년 4월,2024년 4월,2024년 5월,2024년 5월,2024년 6월,2024년 6월,2024년 7월,2024년 7월,2024년 8월,2024년 8월,2024년 9월,2024년 9월,2024년 10월,2024년 10월,2024년 11월,2024년 11월,2024년 12월,2024년 12월,2025년 1월,2025년 1월
29,광주,남구,50대,39,3,39,3,35,3,43,4,45,3,36,2,52,4,51,4,44,3,60,4,61,5,56,5,61,4,82,6,58,4,51,4,38,3,71,5,79,6,51,4,44,3,66,5,138,11,124,10,49,4,54,4,72,5,53,4,50,4,44,3,45,3,44,4,63,5,49,4,39,3,42,3,29,2,41,3,65,4,46,3,47,3,50,4,21,1,15,1,9,1,25,2,15,1,15,1,11,1,33,2,22,2,20,2,38,3,35,3,24,2,29,2,26,2,28,2,32,3,13,1,18,1,29,2,43,3,18,1,41,3,27,2,22,2,36,3,29,2,39,3,35,3,31,2,36,3
30,광주,남구,60대,28,2,24,2,25,2,20,2,26,2,23,2,33,3,25,2,23,2,37,3,40,3,38,3,31,2,41,3,31,3,27,2,34,2,41,3,51,4,47,4,31,2,55,4,106,9,95,8,43,3,30,2,46,4,50,4,42,3,40,3,44,3,30,2,46,3,37,3,27,2,30,2,22,2,27,2,49,3,27,2,30,2,27,2,23,1,9,1,11,1,13,1,14,1,7,1,10,1,10,1,19,1,20,2,15,1,29,2,21,1,16,1,12,1,15,1,24,2,15,1,20,1,14,1,29,2,24,2,32,2,25,2,24,2,22,2,17,1,26,2,24,2,21,2,28,2
31,광주,남구,70대이상,12,1,7,0,15,1,21,2,11,1,13,1,16,1,10,1,16,1,22,2,15,1,14,1,22,2,24,2,22,2,15,1,16,1,17,1,45,3,15,1,19,1,38,3,61,5,39,3,13,1,19,1,31,2,32,2,21,1,14,1,22,2,26,2,21,2,23,2,12,1,19,1,14,1,24,2,28,2,21,2,18,1,15,1,13,1,8,1,16,1,14,1,7,1,6,0,7,1,6,0,10,1,7,0,12,1,9,1,5,0,6,0,15,1,8,1,9,1,11,1,10,1,10,1,11,1,11,1,12,1,17,1,15,1,12,1,10,1,24,2,17,1,9,1,14,1
32,광주,남구,기타,30,1,5,0,4,0,5,0,15,1,55,4,11,1,17,1,46,4,17,1,6,0,50,4,21,2,16,1,19,1,8,1,14,1,37,3,19,1,3,0,42,3,16,1,20,1,21,2,3,0,1,0,73,4,8,0,27,2,9,1,25,2,14,1,31,2,17,1,12,1,8,1,6,0,83,3,4,0,13,1,8,0,7,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,3,0,1,0,1,0,0,0,1,0,1,0,2,0,4,0,0,0,4,0,7,0,1,0,1,0,0,0,5,0,0,0,2,0,2,0,0,0,0,0,2,0
33,대전,유성구,합계,476,42,383,33,407,36,522,45,673,60,636,56,865,75,789,69,745,64,987,87,"""1,015""",87,"""1,250""",99,795,68,942,78,765,62,508,38,583,47,"""1,834""",152,546,43,577,48,425,36,548,46,448,35,801,62,568,44,472,37,521,41,425,34,414,31,343,25,341,25,388,27,403,29,286,22,244,18,227,15,163,10,174,11,170,12,188,13,230,16,165,12,217,14,146,9,129,9,118,8,151,10,184,14,155,12,286,22,346,28,336,26,403,31,404,32,307,26,408,32,401,29,345,28,408,26,248,18,308,22,294,22,316,24,321,24,325,25,335,26,411,33,392,32,466,30,480,38,328,26,301,24,224,17
34,대전,유성구,20대이하,9,1,16,1,17,1,12,1,16,1,18,2,33,3,33,3,19,1,35,3,43,3,58,4,33,3,29,2,37,2,16,1,29,2,67,5,29,2,35,3,22,1,29,2,41,3,62,5,35,2,35,2,29,2,23,1,23,1,13,1,18,1,27,2,25,2,15,1,20,1,11,1,13,1,10,1,5,0,10,0,11,1,6,0,15,1,4,0,6,0,4,0,11,1,9,1,7,1,11,1,19,1,12,1,19,1,18,1,9,1,16,1,9,1,10,1,19,1,11,1,9,1,5,0,14,1,7,0,9,1,9,1,13,1,11,1,9,1,12,1,10,1,14,1,11,0
35,대전,유성구,30대,133,12,125,11,124,11,146,13,168,15,203,18,236,20,214,19,197,17,260,23,277,24,310,26,195,17,247,20,224,18,116,10,158,13,459,38,138,11,202,16,146,12,196,17,145,12,260,21,184,15,167,13,142,11,132,11,126,10,125,9,107,8,115,9,127,9,86,7,70,6,58,4,42,3,48,3,56,4,46,3,64,5,54,4,40,3,35,3,38,3,34,2,48,4,49,4,53,4,87,7,112,9,94,8,137,11,125,10,94,8,132,10,114,9,117,9,86,7,67,5,89,7,95,7,96,7,114,9,85,7,114,9,144,12,124,10,129,10,133,11,105,8,97,8,67,6
36,대전,유성구,40대,178,16,107,10,117,11,166,15,233,23,205,19,251,23,237,22,215,20,323,30,309,28,352,31,250,23,299,27,216,19,98,8,172,15,587,52,144,12,147,13,111,10,132,12,107,9,205,17,144,12,125,11,163,14,96,8,99,8,80,7,82,7,102,8,103,8,73,6,58,5,43,3,35,2,40,3,45,3,52,4,52,4,48,3,53,4,35,2,36,3,32,3,38,3,48,4,46,4,82,7,96,8,83,8,96,8,113,10,91,8,102,8,92,8,85,8,88,8,75,6,76,6,72,6,85,7,80,6,89,7,88,8,121,10,107,9,92,8,143,12,90,7,73,7,55,4
37,대전,유성구,50대,86,8,74,6,98,8,116,10,115,11,118,11,205,17,164,14,171,15,206,18,210,18,234,19,176,15,194,15,155,12,98,8,107,9,360,30,120,10,107,9,77,7,94,8,94,7,126,10,106,8,75,6,100,7,82,7,79,6,53,4,66,5,66,4,63,4,52,4,43,3,40,3,32,2,43,2,32,2,39,2,49,3,27,2,38,2,25,1,17,1,27,2,22,2,28,2,24,2,57,4,66,5,92,7,76,5,77,6,59,4,91,7,62,5,77,6,67,5,58,4,69,4,70,5,67,5,69,5,79,6,66,5,72,5,84,7,62,5,92,8,61,5,65,5,50,4
38,대전,유성구,60대,47,4,35,3,34,3,43,4,60,5,45,4,88,7,84,7,71,6,104,9,109,9,127,11,87,7,99,8,75,6,54,4,64,5,187,15,60,4,52,4,37,3,60,5,33,2,64,5,64,4,50,4,58,4,57,4,56,4,37,3,35,2,39,3,42,3,28,2,30,2,27,2,29,2,19,1,18,1,23,1,29,2,21,1,25,2,15,1,18,1,14,1,17,1,16,1,17,1,37,3,37,3,46,4,56,4,44,3,29,2,45,3,40,3,38,3,35,2,21,1,41,3,32,2,35,2,29,2,44,3,35,2,39,3,40,4,42,3,62,4,38,3,36,2,25,2
39,대전,유성구,70대이상,11,1,18,1,9,1,21,2,23,2,15,1,32,2,38,3,19,1,30,3,39,3,41,3,32,3,29,2,26,2,25,2,17,1,63,5,38,3,30,2,23,2,26,2,23,2,44,3,26,2,14,1,23,2,23,2,19,1,15,1,18,1,19,1,20,1,22,2,17,1,17,1,8,0,6,0,13,1,13,1,18,1,9,1,14,1,9,1,10,1,5,0,12,1,2,0,7,0,10,1,13,1,7,0,14,1,21,1,22,2,17,1,12,1,17,1,13,1,15,1,19,1,17,1,15,1,16,1,17,1,23,2,22,2,26,2,13,1,36,2,23,2,11,1,15,1
40,대전,유성구,기타,12,1,8,1,8,1,18,1,58,4,32,2,20,2,19,1,53,4,29,2,28,2,128,4,22,2,45,3,32,2,101,5,36,2,111,8,17,1,4,0,9,0,11,0,5,0,40,1,9,1,6,0,6,0,12,1,12,1,20,1,15,1,20,1,23,1,10,1,6,0,31,1,4,0,8,0,1,0,5,0,7,0,0,0,32,1,23,1,4,0,2,0,3,0,32,2,1,0,2,0,3,0,2,0,5,0,6,0,3,0,5,0,72,2,1,0,100,2,1,0,5,0,3,0,4,0,6,0,2,0,0,0,0,0,0,0,119,2,2,0,1,0,5,0,1,0
