No,지역,지역,매입자연령대,2019년 1월,2019년 1월,2019년 2월,2019년 2월,2019년 3월,2019년 3월,2019년 4월,2019년 4월,2019년 5월,2019년 5월,2019년 6월,2019년 6월,2019년 7월,2019년 7월,2019년 8월,2019년 8월,2019년 9월,2019년 9월,2019년 10월,2019년 10월,2019년 11월,2019년 11월,2019년 12월,2019년 12월,2020년 1월,2020년 1월,2020년 2월,2020년 2월,2020년 3월,2020년 3월,2020년 4월,2020년 4월,2020년 5월,2020년 5월,2020년 6월,2020년 6월,2020년 7월,2020년 7월,2020년 8월,2020년 8월,2020년 9월,2020년 9월,2020년 10월,2020년 10월,2020년 11월,2020년 11월,2020년 12월,2020년 12월,2021년 1월,2021년 1월,2021년 2월,2021년 2월,2021년 3월,2021년 3월,2021년 4월,2021년 4월,2021년 5월,2021년 5월,2021년 6월,2021년 6월,2021년 7월,2021년 7월,2021년 8월,2021년 8월,2021년 9월,2021년 9월,2021년 10월,2021년 10월,2021년 11월,2021년 11월,2021년 12월,2021년 12월,2022년 1월,2022년 1월,2022년 2월,2022년 2월,2022년 3월,2022년 3월,2022년 4월,2022년 4월,2022년 5월,2022년 5월,2022년 6월,2022년 6월,2022년 7월,2022년 7월,2022년 8월,2022년 8월,2022년 9월,2022년 9월,2022년 10월,2022년 10월,2022년 11월,2022년 11월,2022년 12월,2022년 12월,2023년 1월,2023년 1월,2023년 2월,2023년 2월,2023년 3월,2023년 3월,2023년 4월,2023년 4월,2023년 5월,2023년 5월,2023년 6월,2023년 6월,2023년 7월,2023년 7월,2023년 8월,2023년 8월,2023년 9월,2023년 9월,2023년 10월,2023년 10월,2023년 11월,2023년 11월,2023년 12월,2023년 12월,2024년 1월,2024년 1월,2024년 2월,2024년 2월,2024년 3월,2024년 3월,2024년 4월,2024년 4월,2024년 5월,2024년 5월,2024년 6월,2024년 6월,2024년 7월,2024년 7월,2024년 8월,2024년 8월,2024년 9월,2024년 9월,2024년 10월,2024년 10월,2024년 11월,2024년 11월,2024년 12월,2024년 12월,2025년 1월,2025년 1월
9,부산,남구1,합계,171,15,309,20,219,18,212,18,173,14,204,17,251,20,223,18,248,20,337,28,533,44,733,66,618,41,461,38,464,39,284,23,363,28,718,61,795,69,369,31,433,38,739,60,"""1,285""",107,443,34,235,18,256,20,294,22,302,21,401,31,336,25,352,28,293,22,221,16,234,18,160,11,137,10,110,8,89,6,129,10,150,11,155,11,147,10,90,6,93,7,77,5,153,10,114,9,122,10,90,7,217,16,213,17,166,13,218,18,209,17,179,14,209,17,193,16,195,16,174,14,137,11,134,11,167,14,195,16,213,17,208,17,163,13,233,20,197,15,201,16,205,16,198,16,189,14,126,10
10,부산,남구1,20대이하,5,0,8,0,13,1,7,0,3,0,6,0,7,1,6,0,6,0,7,1,11,1,25,2,13,1,19,1,11,1,11,1,7,1,11,1,19,1,13,1,26,2,27,2,64,5,33,2,17,1,17,1,14,1,16,1,27,2,21,1,23,2,11,1,10,1,17,1,6,0,11,1,11,1,8,1,2,0,7,0,9,1,6,0,6,0,1,0,3,0,12,1,10,1,5,0,3,0,6,0,5,0,3,0,8,1,6,0,6,1,6,0,9,1,6,1,7,0,3,0,5,1,4,0,7,0,9,1,3,0,4,0,8,1,9,1,6,0,7,0,4,0,6,0,3,0
11,부산,남구1,30대,34,3,33,3,45,4,42,4,29,2,29,3,43,4,43,4,45,3,69,6,115,9,148,13,86,7,93,8,91,8,56,5,57,5,130,11,182,15,66,5,73,6,144,12,278,22,97,7,49,4,46,4,71,5,74,5,91,7,88,7,85,7,64,5,45,3,60,5,26,2,27,2,25,2,17,1,28,2,34,3,28,2,32,2,17,1,14,1,19,1,30,2,22,2,28,2,19,1,73,6,60,5,44,3,65,6,48,4,43,3,53,4,52,4,49,3,40,3,34,3,38,3,43,3,47,3,58,4,65,5,46,3,70,6,59,4,44,3,49,4,61,5,54,4,41,3
12,부산,남구1,40대,60,5,58,5,55,5,54,5,53,5,54,5,78,7,66,6,69,6,113,11,172,16,232,22,120,11,136,12,130,12,75,7,94,8,202,18,221,21,77,7,116,11,204,20,376,33,97,8,64,5,72,6,64,5,62,5,98,9,74,6,73,6,63,5,45,4,45,4,45,3,34,3,12,1,20,2,24,2,33,3,40,3,33,2,19,1,23,2,17,1,33,2,31,3,43,4,29,3,65,5,61,5,48,4,56,4,59,5,39,3,57,5,53,5,56,5,58,5,36,3,31,3,45,4,48,4,55,5,50,4,42,3,60,6,38,3,57,5,59,5,51,4,43,4,28,2
13,부산,남구1,50대,26,3,43,4,52,4,43,3,44,4,56,4,63,5,51,4,57,4,57,4,102,9,145,13,99,8,82,7,85,7,64,5,64,6,157,14,155,14,101,9,108,10,134,12,245,22,107,9,49,4,54,4,59,5,60,4,78,6,68,5,74,6,70,5,42,3,48,4,33,2,19,1,23,2,20,1,32,2,29,2,31,2,32,2,14,1,19,1,18,1,35,2,19,2,14,1,22,2,31,2,40,3,38,3,36,3,46,4,46,4,33,3,31,3,44,4,33,3,32,2,31,3,30,3,37,3,34,3,44,4,34,3,48,4,55,4,50,4,30,2,37,3,41,3,30,2
14,부산,남구1,60대,25,2,20,1,32,2,24,2,32,2,17,1,35,3,29,2,28,2,44,3,69,5,98,8,67,5,69,5,62,5,44,3,64,5,118,10,117,10,55,4,63,5,76,6,171,14,65,5,30,2,37,3,59,4,49,3,57,4,42,3,57,4,50,4,33,2,35,3,31,2,22,2,19,1,11,1,21,1,27,2,25,2,23,1,22,2,20,1,15,1,32,2,20,1,20,1,11,1,28,2,28,2,18,1,36,3,33,3,32,3,40,3,38,3,22,2,25,2,19,1,20,2,32,2,27,2,36,3,30,2,21,2,26,2,21,2,28,2,33,3,27,2,31,2,14,1
15,부산,남구1,70대이상,14,1,19,2,20,1,24,2,9,1,13,1,23,2,19,1,21,2,30,2,46,3,41,3,34,2,45,3,29,2,22,1,27,2,54,4,73,6,47,3,37,3,58,4,109,9,31,2,24,2,26,2,24,2,33,2,35,3,27,2,29,2,22,2,34,2,24,2,14,1,11,1,15,1,13,1,17,1,19,1,17,1,21,1,12,1,16,1,4,0,8,0,11,1,11,1,6,0,11,1,18,1,15,1,14,1,17,1,11,1,17,1,10,1,18,1,10,1,8,1,8,1,13,1,29,2,21,2,16,1,16,1,18,1,15,1,15,1,25,2,14,1,11,1,10,1
16,부산,남구1,기타,7,1,128,5,2,0,18,2,3,0,29,3,2,0,9,1,22,2,17,1,18,1,44,5,199,5,17,1,56,4,12,1,50,3,46,4,28,2,10,1,10,1,96,4,42,2,13,1,2,0,4,0,3,0,8,1,15,1,16,1,11,1,13,1,12,1,5,0,5,0,13,1,5,0,0,0,5,0,1,0,5,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,3,0,1,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,4,0,3,0,0,0
17,대구,달서구,합계,582,47,480,38,506,38,643,50,646,50,624,49,680,53,706,56,669,55,846,67,976,80,"""1,157""",92,"""1,172""",96,"""1,130""",88,716,57,609,48,953,71,"""1,242""",99,"""1,755""",140,964,78,"""1,154""",93,"""1,242""",100,"""1,625""",129,"""1,380""",100,342,24,339,24,342,24,403,28,398,28,359,23,356,26,300,21,375,27,321,24,397,29,193,14,160,12,191,14,242,17,194,15,237,18,172,13,201,15,257,19,210,16,200,15,179,14,239,19,201,16,394,31,487,38,425,34,480,37,534,43,499,40,484,38,573,45,522,41,420,32,360,28,422,33,443,36,559,44,583,46,467,38,477,38,514,41,538,44,461,36,549,44,443,34,419,33,345,27
18,대구,달서구,20대이하,27,2,25,2,20,1,25,2,33,2,19,1,24,1,17,1,28,2,35,2,42,3,66,5,53,4,44,3,32,2,17,1,29,2,52,4,73,5,33,2,62,4,58,4,85,6,97,7,19,1,28,2,23,1,40,3,31,2,28,1,24,1,24,2,24,1,21,1,22,2,15,1,11,1,8,1,17,1,11,1,14,1,14,1,20,1,12,1,13,1,11,1,14,1,13,1,11,1,14,1,21,2,13,1,23,2,16,1,24,2,27,2,23,2,18,1,23,2,17,1,20,1,10,1,22,2,20,1,22,2,18,1,21,2,25,2,17,1,11,1,22,2,19,1,11,1
