,도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,총점수
5943,뚝섬로(16),37.53151,127.08145,37.5320664,127.0816087,37.5320664,127.0816087,0.3899675551817807
5944,능동로(15),37.5366834,127.0692378,37.5374433,127.0695827,37.5374433,127.0695827,0.38954211273770134
5945,용마산로(16),37.5680501,127.0861503,37.5683984,127.0861049,37.5683984,127.0861049,0.3891223362908087
5946,아차산로(49)길,37.5387105,127.0842891,37.5389876,127.0840543,37.5389969,127.0842589,0.3890426318913188
5947,아차산로(49)길,37.5391123,127.0849347,37.5390972,127.0842468,37.5390972,127.0842468,0.3890426318913188
5948,뚝섬로(92),37.5358208,127.0664736,37.5359728,127.0658809,37.5359728,127.0658809,0.38904016189645035
5949,동일로(12),37.5363818,127.0608887,37.537005,127.0612232,37.5371638,127.061303,0.3889930052118893
5950,"['뚝섬로30길', '뚝섬로22가길'](1)",37.5348478,127.0650665,37.5347521,127.0649345,37.5347544,127.0648695,0.388890620271954
5951,"['뚝섬로30길', '뚝섬로22가길'](0)",37.5347544,127.0648695,37.5347521,127.0649345,37.5348478,127.0650665,0.388890620271954
5952,뚝섬로(68),37.5320244,127.0818181,37.53148,127.08173,37.53148,127.08173,0.38880289873064894
5953,용마산로(36),37.5678699,127.0861846,37.5672377,127.0863052,37.5672377,127.0863052,0.3886496380648743
5954,동일로4길(12),37.5357022,127.0640267,37.5355053,127.0646599,37.5356508,127.0650469,0.3883914817928975
5955,동일로(77),37.5639081,127.0762079,37.5616309,127.0749049,37.5609709,127.0745311,0.38825517784588526
5956,동일로4길(7),37.5356508,127.0650469,37.5355649,127.0644694,37.5357022,127.0640267,0.3882251022998787
5957,뚝섬로(11),37.53148,127.08173,37.53151,127.08145,37.53151,127.08145,0.38812287748298113
5958,천호대로(5),37.5556426,127.0830546,37.5551387,127.0843509,37.5551387,127.0843509,0.38802021457831604
5959,뚝섬로(69),37.5320664,127.0816087,37.53151,127.08145,37.53151,127.08145,0.38763824227951715
5960,뚝섬로22길(17),37.5356184,127.0612713,37.5350722,127.0615244,37.5350722,127.0615244,0.3875684050545107
5961,용마산로(37),37.5672377,127.0863052,37.5678699,127.0861846,37.5678699,127.0861846,0.3872287310248764
5962,뚝섬로21길(9),37.537646,127.0624347,37.5372335,127.062694,37.5372335,127.062694,0.38706723587115194
5963,용마산로(44),37.561799,127.0879585,37.5617176,127.087275,37.5617176,127.087275,0.38702845844867806
5964,아차산로(111),37.53656,127.0831187,37.5365449,127.0833663,37.536546,127.0835437,0.38701963772197084
5965,뚝섬로(15),37.53151,127.08145,37.53148,127.08173,37.53148,127.08173,0.3864735858283853
5966,뚝섬로(80),37.5359728,127.0658809,37.53605,127.06558,37.53605,127.06558,0.38604533102211147
5967,광나루로(43),37.5480867,127.0704909,37.5481501,127.0699516,37.548186,127.0695386,0.38558111115555815
