0,1,2,3,4,5,6,7,8,9,10,11,12
긴고랑로,37.56316,127.07976,4시간 11분,4시간 57분,37.5634038,127.0790976,1시간 47분,2시간 50분,37.5634038,127.0790976,1시간 47분,2시간 50분
긴고랑로,37.56316,127.07976,4시간 11분,4시간 57분,37.5629354,127.080427,1시간 56분,3시간 10분,37.5629354,127.080427,1시간 56분,3시간 10분
능동로,37.5692556,127.0861341,3시간 26분,3시간 26분,37.5687939,127.0858809,6시간 37분,6시간 43분,37.5687939,127.0858809,6시간 37분,6시간 43분
용마산로,37.5692556,127.0861341,3시간 26분,3시간 26분,37.5693301,127.0861351,3시간 15분,3시간 15분,37.5693301,127.0861351,3시간 15분,3시간 15분
용마산로,37.5692556,127.0861341,3시간 26분,3시간 26분,37.5687628,127.0860575,3시간 14분,5시간 44분,37.5683984,127.0861049,5시간 10분,5시간 10분
긴고랑로,37.5622984,127.0823188,4시간 26분,6시간 30분,37.5619565,127.0829482,2시간 48분,4시간 20분,37.5619565,127.0829482,2시간 48분,4시간 20분
긴고랑로,37.5622984,127.0823188,4시간 26분,6시간 28분,37.5625249,127.0816462,1시간 17분,2시간 8분,37.5625249,127.0816462,1시간 17분,2시간 8분
능동로,37.5622984,127.0823188,4시간 26분,6시간 28분,37.5628886,127.0826404,3시간 56분,3시간 56분,37.5628886,127.0826404,3시간 56분,3시간 56분
능동로,37.5622984,127.0823188,4시간 26분,6시간 28분,37.5615258,127.0818962,2시간 12분,2시간 12분,37.560986,127.081601,2시간 22분,2시간 22분
자양로15길,37.536232,127.0836367,4시간 43분,5시간 34분,37.5361651,127.0835573,3시간 29분,4시간 16분,37.5359673,127.0831829,0시간 37분,1시간 30분
자양로,37.536232,127.0836367,4시간 43분,5시간 34분,37.5361683,127.0836555,4시간 35분,4시간 35분,37.535948,127.0837207,3시간 1분,5시간 58분
자양로,37.5413994,127.0837515,3시간 52분,3시간 52분,37.5411813,127.0836592,1시간 42분,3시간 26분,37.5411813,127.0836592,1시간 42분,3시간 26분
자양로,37.5413994,127.0837515,3시간 52분,3시간 52분,37.5414536,127.0837746,3시간 33분,3시간 33분,37.5414536,127.0837746,3시간 33분,3시간 33분
교차로,37.5413994,127.0837515,3시간 52분,3시간 52분,37.541668,127.0830511,5시간 11분,5시간 11분,37.541865,127.0827437,1시간 37분,1시간 37분
자양로,37.5425244,127.0842191,3시간 14분,3시간 14분,37.5421022,127.0840533,3시간 49분,4시간 2분,37.5421022,127.0840533,3시간 49분,4시간 2분
자양로28길,37.5425244,127.0842191,3시간 14분,3시간 14분,37.542491,127.0843378,2시간 14분,2시간 14분,37.5423055,127.0850319,0시간 26분,0시간 39분
자양로,37.5425244,127.0842191,3시간 14분,3시간 14분,37.5427423,127.0843139,4시간 12분,4시간 12분,37.5430452,127.0844509,2시간 42분,2시간 42분
자양로,37.54359,127.08468,2시간 2분,2시간 2분,37.5434714,127.0846301,1시간 44분,1시간 44분,37.5434714,127.0846301,1시간 44분,1시간 44분
교차로,37.54359,127.08468,2시간 2분,2시간 2분,37.5442893,127.0849783,3시간 34분,3시간 34분,37.5442893,127.0849783,3시간 34분,3시간 34분
자양로,37.54359,127.08468,2시간 2분,2시간 2분,37.5436153,127.0845598,2시간 26분,2시간 26분,37.5437685,127.0838934,0시간 46분,0시간 46분
자양로,37.5444287,127.0850361,4시간 17분,4시간 17분,37.5442893,127.0849783,3시간 34분,3시간 34분,37.5442893,127.0849783,3시간 34분,3시간 34분
자양로,37.5444287,127.0850361,4시간 17분,4시간 17분,37.544553,127.0850798,3시간 27분,3시간 27분,37.544553,127.0850798,3시간 27분,3시간 27분
자양로32길,37.5444287,127.0850361,4시간 17분,4시간 17분,37.5444083,127.0851662,2시간 16분,2시간 16분,37.54428,127.0867504,1시간 37분,1시간 37분
자양로,37.546813,127.0871807,4시간 39분,5시간 42분,37.5465803,127.0869209,2시간 40분,3시간 47분,37.5465803,127.0869209,2시간 40분,3시간 47분
자양로,37.546813,127.0871807,4시간 39분,5시간 42분,37.5475093,127.0879981,3시간 38분,3시간 38분,37.547563,127.0880614,3시간 1분,3시간 45분
자양로35길,37.546813,127.0871807,4시간 39분,5시간 42분,37.5468701,127.087095,6시간 16분,6시간 16분,37.5471237,127.0867403,0시간 4분,0시간 4분
자양로39길,37.5485615,127.0891638,4시간 56분,6시간 11분,37.5486296,127.0890741,6시간 52분,6시간 52분,37.5489365,127.0886515,0시간 50분,1시간 33분
자양로40길,37.5485615,127.0891638,4시간 56분,6시간 11분,37.5484815,127.0892728,1시간 30분,3시간 1분,37.5481493,127.0897315,1시간 29분,2시간 27분
