도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도
자양로41길,37.5495481,127.0902943,37.5496178,127.0901911,37.5500668,127.0895613
자양로42길,37.5495481,127.0902943,37.5494713,127.0903786,37.5491494,127.0908483
자양로,37.5495481,127.0902943,37.5488881,127.0895664,37.5485615,127.0891638
자양로,37.5495481,127.0902943,37.5499081,127.0906948,37.5500176,127.0908197
자양로,37.5500176,127.0908197,37.550186,127.0909511,37.550186,127.0909511
천호대로,37.5500176,127.0908197,37.5496131,127.0913505,37.5492881,127.0919276
자양로,37.5500176,127.0908197,37.5499081,127.0906948,37.5495481,127.0902943
천호대로132길,37.5506271,127.0902166,37.5505657,127.0901448,37.5500668,127.0895613
천호대로,37.5506271,127.0902166,37.5502518,127.0905246,37.5500176,127.0908197
천호대로,37.5533477,127.0887981,37.553393,127.0887556,37.553393,127.0887556
천호대로127길,37.5533477,127.0887981,37.5534137,127.0889358,37.5536919,127.0898116
천호대로122길,37.5536011,127.0882185,37.55348,127.0881393,37.553069,127.0878705
천호대로,37.5536011,127.0882185,37.5535416,127.088319,37.5534728,127.0884141
천호대로,37.5556426,127.0830546,37.5551387,127.0843509,37.5551387,127.0843509
천호대로114길,37.5556426,127.0830546,37.5555633,127.0830062,37.5550773,127.0827101
천호대로,37.557395,127.0786804,37.5570888,127.0794562,37.5570888,127.0794562
군자로,37.557395,127.0786804,37.5573055,127.07862,37.5568273,127.0782204
면목로,37.5580747,127.0769544,37.5582076,127.0770318,37.5582076,127.0770318
천호대로,37.5580747,127.0769544,37.5580132,127.0771187,37.557395,127.0786804
면목로,37.5580747,127.0769544,37.5579482,127.0768805,37.5576172,127.076699
동일로,37.563293,127.0760044,37.5637286,127.076252,37.5637286,127.076252
동일로,37.563293,127.0760044,37.5632661,127.0760945,37.5630542,127.076684
동일로,37.5673628,127.0782525,37.5679131,127.0785682,37.5679131,127.0785682
동일로74길,37.5673628,127.0782525,37.567316,127.0783846,37.5671028,127.0789829
동일로,37.5673628,127.0782525,37.5661328,127.0774882,37.5642375,127.0763978
아차산로,37.5493016,127.1079949,37.54828,127.10728,37.5482083,127.1072098
아차산로,37.5493016,127.1079949,37.5493578,127.1081292,37.5503666,127.1087805
아차산로,37.5461477,127.105331,37.5467434,127.1058268,37.5467434,127.1058268
아차산로,37.5461477,127.105331,37.5457441,127.1049887,37.5457441,127.1049887
,37.5461477,127.105331,37.5466618,127.1061289,37.54663,127.10675
동일로,37.5455937,127.0659888,37.5456852,127.0660422,37.5456852,127.0660422
동일로26길,37.5455937,127.0659888,37.545567,127.0660686,37.5453519,127.0667118
동일로,37.547704,127.0671768,37.5477488,127.0672018,37.5477488,127.0672018
동일로30길,37.547704,127.0671768,37.5476803,127.0672799,37.5476284,127.067994
동일로,37.549618,127.0682889,37.5501372,127.0685767,37.5502401,127.0686337
동일로32길,37.549618,127.0682889,37.5495818,127.0683853,37.5494469,127.0687685
동일로,37.553056,127.0702078,37.5531665,127.0702709,37.5534064,127.0704079
동일로42길,37.553056,127.0702078,37.5529043,127.0704801,37.5520835,127.07093
강변북로,37.5420651,127.1050696,37.5400033,127.1024983,37.538201,127.1001839
자양번영로4길,37.5316065,127.0752045,37.5314716,127.0759258,37.5314716,127.0759258
자양번영로3길,37.5316065,127.0752045,37.5317376,127.0744774,37.5317376,127.0744774
자양번영로,37.5316065,127.0752045,37.532309,127.0754276,37.532309,127.0754276
자양번영로,37.5316065,127.0752045,37.531107,127.0750607,37.531107,127.0750607
자양번영로,37.532597,127.0755173,37.5331998,127.0756803,37.5331998,127.0756803
자양번영로,37.532597,127.0755173,37.532309,127.0754276,37.532309,127.0754276
뚝섬로,37.53431,127.09109,37.5340117,127.0900966,37.5340117,127.0900966
뚝섬로67길,37.53431,127.09109,37.5351906,127.0907255,37.5351906,127.0907255
뚝섬로,37.53431,127.09109,37.53445,127.09159,37.5344847,127.0917181
뚝섬로,37.5344847,127.0917181,37.53445,127.09159,37.53431,127.09109
구의강변로,37.5344847,127.0917181,37.5343676,127.0916973,37.5338736,127.0916212
뚝섬로,37.5344847,127.0917181,37.5344291,127.0925043,37.53441,127.09268
구의강변로,37.5344847,127.0917181,37.53522,127.09195,37.53552,127.09211
구의강변로3길,37.53552,127.09211,37.535693,127.0916754,37.535693,127.0916754
구의강변로,37.53552,127.09211,37.5367676,127.0928615,37.5367676,127.0928615
구의강변로,37.53552,127.09211,37.53491,127.09182,37.5344847,127.0917181
구의강변로,37.537641,127.0934284,37.5375657,127.093384,37.5375657,127.093384
구의강변로5길,37.537641,127.0934284,37.5377413,127.0933286,37.5384199,127.0926533
구의강변로,37.537641,127.0934284,37.5377201,127.0934744,37.5379226,127.0935921
구의강변로,37.5380704,127.0936773,37.5379226,127.0935921,37.5379226,127.0935921
광나루로54길,37.5380704,127.0936773,37.5380256,127.0937932,37.5376689,127.0947171
구의강변로,37.5380704,127.0936773,37.5384602,127.09384,37.5389714,127.0939848
구의강변로,37.5389714,127.0939848,37.5392579,127.0940609,37.5392579,127.0940609
아차산로62길,37.5389714,127.0939848,37.5389872,127.0938848,37.5390227,127.09366
구의강변로,37.5389714,127.0939848,37.5384602,127.09384,37.5380704,127.0936773
긴고랑로42길,37.558874,127.0930525,37.5586685,127.0930614,37.5586685,127.0930614
긴고랑로,37.558874,127.0930525,37.5587676,127.0925978,37.5587676,127.0925978
긴고랑로,37.558874,127.0930525,37.5589905,127.0938579,37.5591508,127.0940708
긴고랑로41길,37.5587676,127.0925978,37.5591859,127.0926917,37.5591859,127.0926917
긴고랑로,37.5587676,127.0925978,37.558874,127.0930525,37.558874,127.0930525
긴고랑로,37.5587676,127.0925978,37.5586318,127.0920396,37.5586107,127.0916167
영화사로3길,37.5586107,127.0916167,37.5582083,127.0915819,37.5582083,127.0915819
긴고랑로,37.5586107,127.0916167,37.5593524,127.0917397,37.5593524,127.0917397
긴고랑로,37.5586107,127.0916167,37.5588053,127.0907337,37.5588053,127.0907337
긴고랑로,37.5586107,127.0916167,37.5586318,127.0920396,37.5587676,127.0925978
긴고랑로39길,37.5588053,127.0907337,37.5594308,127.0910574,37.5594308,127.0910574
긴고랑로,37.5588053,127.0907337,37.5586107,127.0916167,37.5586107,127.0916167
긴고랑로,37.5588053,127.0907337,37.5589086,127.0903614,37.55897,127.09005
긴고랑로37길,37.55897,127.09005,37.5595356,127.09013,37.5595356,127.09013
긴고랑로38길,37.55897,127.09005,37.558642,127.0900477,37.558642,127.0900477
긴고랑로,37.55897,127.09005,37.55897,127.08958,37.5588036,127.0887816
긴고랑로,37.55897,127.09005,37.5589086,127.0903614,37.5588053,127.0907337
긴고랑로36길,37.5588036,127.0887816,37.5582277,127.0895702,37.5582277,127.0895702
긴고랑로,37.5588036,127.0887816,37.55885,127.08853,37.55885,127.08853
긴고랑로,37.5588036,127.0887816,37.55897,127.08958,37.55897,127.09005
긴고랑로35길,37.55885,127.08853,37.5596589,127.0883733,37.5596589,127.0883733
긴고랑로,37.55885,127.08853,37.5588036,127.0887816,37.5588036,127.0887816
긴고랑로,37.55885,127.08853,37.55891,127.08828,37.5590664,127.0880258
긴고랑로,37.5641996,127.0765167,37.5642375,127.0763978,37.5642375,127.0763978
긴고랑로,37.5641996,127.0765167,37.5640909,127.0769423,37.5640193,127.0772271
동일로,37.5641996,127.0765167,37.5643806,127.0766242,37.5648935,127.0769135
광나루로,37.54368,127.09318,37.5435594,127.0933075,37.5435594,127.0933075
광나루로46길,37.54368,127.09318,37.5436413,127.0931129,37.5433442,127.0925972
광나루로44길,37.5443758,127.09167,37.5443073,127.0916471,37.5437397,127.0915066
광나루로,37.5443758,127.09167,37.5438757,127.0928524,37.54368,127.09318
광나루로,37.5451288,127.0838085,37.5450934,127.0840954,37.5450934,127.0840954
"['광나루로32길', '자양로29길']",37.5451288,127.0838085,37.5443659,127.0835116,37.5442489,127.0838038
,37.5463519,127.076223,37.5464088,127.0762569,37.5464088,127.0762569
광나루로24길,37.5463519,127.076223,37.5461815,127.0762391,37.5454463,127.0765175
광나루로,37.5463519,127.076223,37.5458803,127.0772621,37.5456571,127.0782751
광나루로,37.5466844,127.0755679,37.5463519,127.076223,37.5463519,127.076223
광나루로22길,37.5466844,127.0755679,37.5465457,127.0754621,37.5464595,127.0753897
광나루로,37.5476959,127.0723769,37.5473537,127.0737411,37.5472708,127.0740581
광나루로18길,37.5476959,127.0723769,37.5476255,127.0723463,37.5472225,127.0721771
광나루로,37.5481693,127.0688027,37.5481404,127.0690838,37.5481404,127.0690838
광나루로13길,37.5481693,127.0688027,37.5482642,127.0688205,37.5482642,127.0688205
구의강변로,37.5338736,127.0916212,37.5334244,127.0901907,37.5334244,127.0901907
구의강변로,37.5338736,127.0916212,37.5343676,127.0916973,37.5344847,127.0917181
구의강변로,37.5338736,127.0916212,37.533,127.09167,37.5326887,127.0917016
강변역로4길,37.53441,127.09268,37.5350108,127.0934181,37.5352672,127.0937
강변역로4길,37.53441,127.09268,37.5336295,127.0924349,37.5329666,127.0924783
뚝섬로,37.53441,127.09268,37.5344905,127.0919386,37.5344847,127.0917181
강변역로4길,37.5352672,127.0937,37.5347742,127.0931431,37.53441,127.09268
강변역로4길,37.5352672,127.0937,37.5353781,127.094138,37.5352416,127.0943559
광나루로56길,37.5369835,127.0957562,37.5368635,127.0956967,37.5368635,127.0956967
광나루로56길,37.5369835,127.0957562,37.5361822,127.0946066,37.5363223,127.0941342
광나루로56길,37.5369835,127.0957562,37.5381726,127.0971096,37.539172,127.0982664
