,도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,총점수
3362,능동로29길(8),37.5545744,127.0772684,37.5545088,127.0774592,37.5545088,127.0774592,0.5337036452379439
3363,아차산로(13),37.5374595,127.0872237,37.5373068,127.0866171,37.5373068,127.0866171,0.533683541002036
3364,영화사로(4),37.5545383,127.0939381,37.554453,127.094256,37.554453,127.094256,0.5335173549308625
3365,군자로(47),37.5527187,127.071958,37.5528781,127.0722473,37.5528781,127.0722473,0.5333982023589494
3366,자양로15길(27),37.5358165,127.0827957,37.5357499,127.0825542,37.5357499,127.0825542,0.5333367939848871
3367,능동로4길(1),37.5339134,127.0679261,37.5338383,127.0680206,37.5334011,127.0685709,0.5332252659360779
3368,능동로4길(11),37.5334011,127.0685709,37.5338383,127.0680206,37.5339134,127.0679261,0.5332252659360779
3369,능동로29가길(4),37.5549837,127.0775011,37.5545744,127.0772684,37.5545744,127.0772684,0.5331989572824106
3370,능동로29길(4),37.5545088,127.0774592,37.5545744,127.0772684,37.5545744,127.0772684,0.5331989572824106
3371,아차산로(72),37.5371758,127.0860963,37.5370234,127.0854908,37.5370234,127.0854908,0.5331788530465027
3372,아차산로(48),37.5373068,127.0866171,37.5371758,127.0860963,37.5371758,127.0860963,0.5331788530465027
3373,천호대로104가길(2),37.5567981,127.0752676,37.5569978,127.0751287,37.5571335,127.0750396,0.5330734522073983
3374,면목로5길(2),37.5565759,127.0749034,37.5565786,127.0747727,37.5565786,127.0747727,0.5330734522073983
3375,면목로5길(25),37.5565786,127.0747727,37.5565759,127.0749034,37.5565759,127.0749034,0.5330734522073983
3376,천호대로104가길(6),37.5571335,127.0750396,37.5569943,127.0751295,37.5567981,127.0752676,0.5330734522073983
3377,긴고랑로(24),37.55941,127.08764,37.55915,127.08789,37.5590664,127.0880258,0.5330126669753291
3378,긴고랑로(36),37.5590664,127.0880258,37.55915,127.08789,37.55941,127.08764,0.5330126669753291
3379,아차산로(12),37.5370234,127.0854908,37.5369022,127.0850093,37.5369022,127.0850093,0.5330106237279917
3380,아차산로(14),37.5374595,127.0872237,37.5373803,127.0870797,37.5373803,127.0870797,0.5330106237279917
