정류소명,승객수_집계,label,X,Y,가장가까운도로
중곡역입구,9884,6,127.081645,37.56666,면목로(28)
동서울호텔앞,9833,6,127.092049,37.5345921,뚝섬로(6)
한창주택,9798,5,127.0891188,37.53371538,뚝섬로(47)
광나루우편취급국,9745,5,127.106316,37.547401,아차산로(33)
중앙상회앞,9624,5,127.094972,37.56016,긴고랑로46길(0)
군자교남단,9567,5,127.0727879,37.55741097,동일로58길(2)
성안약국,9416,5,127.0933919,37.5531415,자양로(72)
대원고교앞,9342,5,127.0867086,37.56396603,용마산로(14)
우리들약국,9277,5,127.090369,37.55704379,영화사로3길(7)
구의역3번출구,9272,5,127.0882894,37.53751863,아차산로(25)
건대입구역1번출구,8935,5,127.0681673,37.54089575,아차산로29길(0)
자양한강도서관,8794,5,127.078333,37.528429,자양강변길(11)
용암사입구,8561,5,127.0860566,37.56791599,용마산로(31)
중곡1동사거리,8432,5,127.0794725,37.56245368,면목로(2)
구.새마을금고앞,8397,5,127.0871709,37.56144173,용마산로(43)
자양종합복지관앞,8348,5,127.075441,37.532469,자양번영로(1)
중곡4동파출소,8282,5,127.0867703,37.56541945,용마산로(23)
메리놀외방선교회,8236,5,127.077338,37.55895,면목로(62)
중곡119안전센터,8077,5,127.0862442,37.56675676,용마산로(33)
국민은행신자양지점,8026,5,127.067195,37.53573,뚝섬로31가길(0)
한아름공원,7946,5,127.072222,37.543765,군자로(22)
종로약국앞,7868,4,127.0881059,37.55758796,용마산로(53)
면곡시장,7763,4,127.081375,37.57146241,답십리로78길(4)
노룬산시장앞,7715,4,127.0629447,37.53680587,뚝섬로(29)
중곡아파트.기점,7705,4,127.078165,37.566876,동일로(80)
자양사거리,7597,4,127.0821045,37.5367503,아차산로(114)
화양사거리SKV1센터,7554,4,127.06641,37.546257,동일로(70)
자양초등학교앞,7416,4,127.079265,37.537422,아차산로(45)
동서울우편집중국앞,7379,4,127.084333,37.535052,자양로(26)
워커힐팰리스,7259,4,127.1096719,37.55001332,아차산로78길(2)
중곡1동주민센터입구,7063,4,127.078402,37.560877,면목로(11)
현대3.5차아파트,7025,4,127.1003519,37.54077907,아차산로70길(7)
자양2동주민센터,6814,4,127.08517,37.527949,자양로3가길(6)
중곡우체국앞,6728,4,127.083883,37.561577,긴고랑로(51)
구의홈마트앞,6704,4,127.0895646,37.54031918,구의로(3)
화양동현대아파트,6649,4,127.0652402,37.54398276,동일로(66)
능동교회앞,6538,4,127.0769927,37.55287399,능동로(20)
신양초등학교앞,6514,4,127.0692877,37.53491182,뚝섬로(23)
군자삼거리,6417,4,127.0753228,37.55464662,면목로(39)
자양4동주민센터앞,6151,4,127.067497,37.533632,능동로3길(3)
세븐일레븐구의중앙로점앞,6090,3,127.0898705,37.54156336,구의로(3)
중곡2동주민센터앞,6033,3,127.0811552,37.55984027,능동로42길(0)
구의현대2단지아파트,5924,3,127.0965425,37.53785337,광나루로56길(4)
대순진리회앞.구.새마을금고,5811,3,127.0875677,37.56095484,용마산로(6)
CU중곡긴고랑점앞,5730,3,127.0930312,37.558916,긴고랑로(6)
어린이대공원앞,5661,3,127.0770315,37.55204586,능동로24길(2)
세종초교앞,5640,3,127.074363,37.553868,군자로(34)
건대입구역6번출구,5614,3,127.0672789,37.54082688,동일로20길(7)
대동아파트앞,5567,3,127.068967,37.536419,능동로(13)
새마을금고앞,5485,3,127.0871709,37.56144173,용마산로(43)
동곡삼거리,5456,3,127.078265,37.563803,긴고랑로(30)
광진청소년센터,5393,3,127.1053745,37.54595149,아차산로(8)
광진우체국,5351,3,127.090409,37.537998,강변역로(18)
능동우편취급국,5336,3,127.0760329,37.55616091,면목로(52)
광나루현대아파트,5099,3,127.107587,37.54672174,아차산로76길(1)
프라임아파트앞,4621,3,127.0970324,37.53783797,광나루로56길(4)
중곡4동어린이집입구,4574,3,127.0916679,37.55851698,긴고랑로(9)
성수사거리,4552,3,127.062362,37.542795,동일로(64)
자양동우체국.중앙농협,4548,3,127.0814131,37.53157273,뚝섬로(11)
강원설비앞,4322,2,127.0901359,37.55900294,긴고랑로(14)
중곡아파트,4092,2,127.0778997,37.56640123,동일로72길(0)
서울서광교회앞,4016,2,127.088351,37.54758473,자양로38길(0)
한전삼거리,3999,2,127.0979657,37.54544335,"['광장로', '광장앞지하차도'](0)"
긴고랑주차장,3895,2,127.0956309,37.56096064,긴고랑로45길(0)
청구아파트앞,3892,2,127.0967938,37.5423896,아차산로(32)
능동사거리.군자역6번출구,3848,2,127.0786347,37.55517668,능동로32길(36)
어린이대공원앞.세종대학교,3800,2,127.07544,37.549752,능동로(50)
영동대교입구.성수사거리,3714,2,127.0645259,37.54282551,동일로22길(13)
장신대앞,3691,2,127.1051324,37.54763045,광장로(6)
중곡동성당앞,3538,2,127.082935,37.563169,능동로(1)
썬더치킨앞,3341,2,127.0900165,37.54155063,구의로(3)
긴고랑입구,3327,2,127.0886688,37.558877,긴고랑로(17)
대원여자고등학교앞,2958,2,127.087052,37.562118,용마산로(10)
긴고랑종점,2723,2,127.0960429,37.56219447,긴고랑로(1)
중곡4동경로당입구앞,2719,2,127.0942812,37.55919254,긴고랑로(50)
군자교,2552,2,127.075203,37.56153286,동일로(16)
워커힐아파트입구,2252,2,127.1064755,37.54809046,광장로(0)
용곡삼거리,2086,2,127.0855902,37.56793345,능동로(27)
어린이대공원역4번출구,2037,1,127.0736285,37.54662164,교차로(599)
중곡역.국립정신건강센터,1938,1,127.0845455,37.56604642,능동로(32)
한강호텔입구,1894,1,127.1093151,37.54827454,교차로(61)
중앙농협군자지점,1744,1,127.0765591,37.55715628,면목로(58)
영동교골목시장,1618,1,127.0626913,37.53950299,동일로14길(0)
광장자이아파트,1589,1,127.0949109,37.54216725,광나루로(38)
중곡아파트.종점,1480,1,127.0779156,37.56637898,동일로72길(0)
종합의료복합단지,1259,1,127.0833601,37.56388824,능동로(31)
천주교화양동성당,1007,1,127.0735882,37.54590439,능동로(17)
구의교통차고지,481,1,127.086994,37.562731,용마산로(12)
중곡동성당,480,1,127.082402,37.562765,능동로(1)
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
