도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,거리
용마산로5길(10),37.5572371,127.08304,37.5572356,127.0830247,37.5572356,127.0830247,1482
용마산로5길(11),37.5572371,127.08304,37.5574134,127.0848968,37.5574494,127.0852765,1488
용마산로5길(12),37.5574786,127.0855843,37.5575081,127.0858954,37.5575081,127.0858954,1490
용마산로5길(13),37.5574786,127.0855843,37.5574494,127.0852765,37.5574494,127.0852765,1490
용마산로5길(14),37.5574786,127.0855843,37.5565601,127.0857468,37.5565101,127.085422,1514
용마산로5길(15),37.5575391,127.0862214,37.5575713,127.0865609,37.5575713,127.0865609,1492
용마산로5길(16),37.5575391,127.0862214,37.5575081,127.0858954,37.5575081,127.0858954,1495
용마산로5길(17),37.5565101,127.085422,37.5571294,127.0856461,37.5574786,127.0855843,1504
능동로40길(0),37.5580915,127.0808261,37.5583007,127.0802887,37.558352,127.080157,1425
능동로40길(1),37.5578914,127.0813402,37.5580057,127.0810465,37.5580915,127.0808261,1454
능동로40길(2),37.5576564,127.081944,37.5577755,127.081638,37.5578914,127.0813402,1467
능동로40길(3),37.5574325,127.0825191,37.5575684,127.0821701,37.5576564,127.081944,1485
능동로38길(0),37.5574116,127.0810666,37.55718,127.0816709,37.5569627,127.0822381,1481
능동로38길(1),37.5578492,127.0798793,37.5575324,127.0807389,37.5574116,127.0810666,1458
능동로39길(0),37.5586018,127.0795154,37.5588374,127.0789101,37.5588374,127.0789101,1375
능동로39길(1),37.5586018,127.0795154,37.5583949,127.0800468,37.558352,127.080157,1401
능동로39길(2),37.5588374,127.0789101,37.5586018,127.0795154,37.5586018,127.0795154,1380
능동로39길(3),37.5588374,127.0789101,37.5593047,127.07771,37.5593249,127.0776539,1331
능동로39길(4),37.5593249,127.0776539,37.5593047,127.07771,37.5588374,127.0789101,1331
능동로39길(5),37.558352,127.080157,37.5583949,127.0800468,37.5586018,127.0795154,1401
천호대로107길(0),37.5588374,127.0789101,37.5583424,127.0786277,37.5583424,127.0786277,1375
천호대로107길(1),37.5588374,127.0789101,37.5601452,127.0795855,37.5601452,127.0795855,1346
천호대로107길(2),37.5583424,127.0786277,37.5588374,127.0789101,37.5588374,127.0789101,1371
천호대로107길(3),37.5583424,127.0786277,37.5578468,127.0783323,37.5577235,127.0782573,1383
천호대로107길(4),37.5601452,127.0795855,37.5588374,127.0789101,37.5588374,127.0789101,1352
천호대로107길(5),37.5577235,127.0782573,37.5578468,127.0783323,37.5583424,127.0786277,1383
능동로37길(0),37.5583424,127.0786277,37.5578952,127.0797626,37.5578492,127.0798793,1406
능동로37길(1),37.5583424,127.0786277,37.5588122,127.0774354,37.5588288,127.0773851,1339
능동로37길(2),37.5588288,127.0773851,37.5588122,127.0774354,37.5583424,127.0786277,1339
능동로37길(3),37.5578492,127.0798793,37.5578952,127.0797626,37.5583424,127.0786277,1406
면목로7길(0),37.5595792,127.0770047,37.5596586,127.0768006,37.5598342,127.0763496,1260
면목로7길(1),37.5598342,127.0763496,37.5600518,127.0757869,37.5600767,127.0757224,1217
면목로7길(2),37.5593249,127.0776539,37.5595792,127.0770047,37.5595792,127.0770047,1284
면목로7길(3),37.5600767,127.0757224,37.5602236,127.0753425,37.5603091,127.0751215,1193
