유치원명,주소,위도,경도
해피엘노인복지센터,서울특별시 광진구 자양로13길 47 (자양동),37.5341664,127.0818965
소망복지센터,"서울특별시 광진구 아차산로78길 75, 1005호 (광장동)",37.551602,127.111003
건국의료기,서울특별시 광진구 능동로9길 23 (자양동),37.537672,127.0680763
광진노인종합복지관,서울특별시 광진구 군자로 88 (군자동),37.5511166,127.0716044
열린재가노인지원서비스센터,"서울특별시 광진구 천호대로 591, 2층 (중곡동)",37.5558631,127.0837479
모니카의 집,서울특별시 광진구 자양로33길 36 (구의동),37.5474116,127.086145
광진소규모요양시설,서울특별시 광진구 자양로51길 11-25 (구의동),37.5531036,127.0924328
광진어르신복지센터,서울특별시 광진구 자양로51길 11-25 (구의동),37.5531036,127.0924328
광진노인요양공동생활가정,서울특별시 광진구 자양로51길 11-25 (구의동),37.5531036,127.0924328
광진한울촌노인요양시설,서울특별시 광진구 군자로 79 (군자동),37.5501828,127.0706544
실버밸리노인요양공동생활가정,"서울특별시 광진구 자양로 65, 2층 (자양동, 화성빌딩)",37.5336291,127.0843868
광진노인보호센터,서울특별시 광진구 뚝섬로58길 13 (자양동),37.5313164,127.0846213
밝은요양원,"서울특별시 광진구 긴고랑로 12, 4층 (중곡동)",37.5637146,127.0775651
새움터지역아동센터,"서울특별시 광진구 자양로 71-7, 3층 (자양동, 희년의집)",37.5340924,127.0839187
해피엘지역아동센터,서울특별시 광진구 자양번영로 16 (자양동),37.5310141,127.0752648
광진단기보호센터(광진노인종합복지관 부설),서울특별시 광진구 군자로 88 (군자동),37.5511166,127.0716044
광진어르신복지센터,서울특별시 광진구 자양로51길 11-25 (구의동),37.5531036,127.0924328
강변워커힐케어센터,서울특별시 광진구 아차산로 634 (광장동),37.5489996,127.1083146
광진데이케어센터,서울특별시 광진구 군자로 88 (군자동),37.5511166,127.0716044
구의교회 늘푸른대학,서울특별시 광진구 광나루로44길 47 (구의동),37.5422579,127.0917089
돌보미노인요양센터,서울특별시 광진구 면목로 157 (중곡동),37.5674362,127.0819109
광진노인요양센터(광진노인종합복지관병설),"서울특별시 광진구 군자로 88 (군자동,광진노인종합복지관)",37.5511166,127.0716044
광진노인보호센터(주야간보호소),서울특별시 광진구 뚝섬로58길 13 (자양동),37.5313164,127.0846213
가족사랑 대자연 재가요양센터,서울특별시 광진구 광장동 산 148-11 대오빌딩 6층,37.5489996,127.1083146
광진좋은너싱홈,"서울특별시 광진구 용마산로 37 (중곡동,이안빌딩 2층)",37.5570247,127.0877389
광진재가노인지원센터,"서울특별시 광진구 자양로 309, 2층 (구의동)",37.5530913,127.0931335
동부참사랑요양원,서울특별시 광진구 동일로 154 (화양동),37.5457631,127.0663265
늘푸른돌봄센터,"서울특별시 광진구 능동로 53, 2층 (자양동)",37.5361322,127.0686
(사)굿하트광진재가노인지원센터,"서울특별시 광진구 천호대로 699, 302호 (구의동, 일천빌딩)",37.5496192,127.0923481
광진늘푸른요양원,"서울특별시 광진구 뚝섬로 613, 6층 (자양동)",37.532704,127.0779507
중곡지역아동센터,"서울특별시 광진구 자양로53길 69, 3층 (중곡동)",37.5557912,127.0908167
어린이나라지역아동센터,"서울특별시 광진구 자양로22길 58, 2층 (구의동)",37.5396623,127.0865263
새빛지역아동센터,"서울특별시 광진구 자양로21길 35, 2층 (자양동)",37.5393978,127.0814247
경희지역아동센터,서울특별시 광진구 긴고랑로7길 54 (중곡동),37.5657033,127.0804479
백세만세의료기,"서울특별시 광진구 광나루로 556, 1층 (구의동)",37.5443006,127.0912032
그린F5 광진본부,"서울특별시 광진구 아차산로78길 170, 2층 207호 (광장동, 한강빌라)",37.5479519,127.1083597
드림재가복지센터,"서울특별시 광진구 자양로13길 107, 2층 (자양동)",37.5322289,127.0798936
다시봄날 재가복지센터,"서울특별시 광진구 자양로26길 14, 102호 (구의동)",37.5417175,127.0847679
큰아들 재가복지센터,"서울특별시 광진구 천호대로136길 64, 1층 (구의동)",37.5471691,127.0894364
사랑재 요양원,"서울특별시 광진구 자양로 188 (구의동, 사랑재 요양원)",37.5443012,127.0852547
사랑재 요양원,"서울특별시 광진구 자양로 188 (구의동, 사랑재 요양원)",37.5443012,127.0852547
광진구10호점 우리동네키움센터,"서울특별시 광진구 능동로 400, 3층 (중곡동)",37.5650581,127.0844568
광진구10호점 우리동네키움센터,"서울특별시 광진구 능동로 400, 3층 (중곡동)",37.5650581,127.0844568
돌봄플러스센터,"서울특별시 광진구 긴고랑로 41, 4층 (중곡동)",37.5630168,127.0809342
A노아어르신복지센터,"서울특별시 광진구 광나루로 410, 6층 621호 (화양동, KCC파크타운)",37.5465757,127.0750446
청연재가복지센터,"서울특별시 광진구 광나루로 486, 507호 (구의동, 센트럴빌)",37.544763,127.0832011
해피나눔 재가복지센터,"서울특별시 광진구 구의로 43, 1층 101호 (구의동)",37.5418788,127.0898477
구립 자양노인복지관,서울특별시 광진구 뚝섬로56길 20 (자양동),37.5305343,127.0823899
