도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도,연속 일조량,총 일조량,경사도_점수(1-10점)
아차산로51길(18),37.5392372,127.0846045,37.5392466,127.0849237,37.5392466,127.0849237,1,1,0
아차산로51길(19),37.5401092,127.084949,37.5399977,127.084901,37.5399977,127.084901,2,2,0
아차산로51길(20),37.5401092,127.084949,37.5402831,127.0850238,37.5402831,127.0850238,2,2,0
아차산로51길(21),37.5405125,127.0851225,37.540413,127.0850797,37.540413,127.0850797,1,1,0
아차산로51길(22),37.5405125,127.0851225,37.5406554,127.085184,37.5406554,127.085184,1,1,0
아차산로51길(23),37.5406554,127.085184,37.5405125,127.0851225,37.5405125,127.0851225,1,1,0
아차산로51길(24),37.5406554,127.085184,37.540803,127.0852475,37.540803,127.0852475,1,1,0
아차산로51길(25),37.5392826,127.0849207,37.5392466,127.0849237,37.5392466,127.0849237,2,2,0
아차산로51길(26),37.5392826,127.0849207,37.5394423,127.0849077,37.5394423,127.0849077,2,2,0
아차산로51길(27),37.540413,127.0850797,37.5402831,127.0850238,37.5402831,127.0850238,2,2,0
아차산로51길(28),37.540413,127.0850797,37.5405125,127.0851225,37.5405125,127.0851225,1,1,0
아차산로51길(29),37.540803,127.0852475,37.5406554,127.085184,37.5406554,127.085184,1,1,0
아차산로51길(30),37.540803,127.0852475,37.5412533,127.0854412,37.5412533,127.0854412,1,1,0
아차산로51길(31),37.5412533,127.0854412,37.540803,127.0852475,37.540803,127.0852475,1,1,0
아차산로51길(32),37.5412533,127.0854412,37.5415175,127.0855549,37.5415175,127.0855549,2,2,0
아차산로51길(33),37.5394423,127.0849077,37.5392826,127.0849207,37.5392826,127.0849207,1,2,0
아차산로51길(34),37.5394423,127.0849077,37.5396332,127.084892,37.5396332,127.084892,1,2,0
아차산로51길(35),37.5402831,127.0850238,37.5401092,127.084949,37.5401092,127.084949,2,2,0
아차산로51길(36),37.5402831,127.0850238,37.540413,127.0850797,37.540413,127.0850797,1,1,0
구의강변로7길(0),37.5379226,127.0935921,37.5380303,127.0934981,37.5386202,127.0929833,1,2,0
구의강변로7길(1),37.5386202,127.0929833,37.5380303,127.0934981,37.5379226,127.0935921,1,2,0
자양로19길(0),37.5381449,127.081042,37.5383455,127.0812089,37.5384403,127.0813388,2,2,0
자양로19길(1),37.5381449,127.081042,37.5382498,127.0801057,37.5383154,127.079671,1,1,4
자양로19길(2),37.5383154,127.079671,37.5384523,127.0790234,37.5384523,127.0790234,1,1,0
자양로19길(3),37.5383154,127.079671,37.5381449,127.0804284,37.5381449,127.081042,1,1,4
자양로19길(4),37.5384403,127.0813388,37.5391523,127.0828586,37.5391611,127.0832694,2,3,0
