,회사명,채용공고사항,링크,지역,경력,학력,월급
12,(주)아이브이알시스템즈,방산관련 IETM/CBT SW개발 팀장급 모십니다(사업관리).,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49947805&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력 5~20년,초대졸↑,정규직
13,(주)옵트에이아이,임베디드 비전 AI 개발자 (방산 분야),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49947529&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 강서구,경력 2~10년,석사↑,정규직
14,우림피티에스(주),2025년 부문별 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49961443&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경남 창원시,경력3년↑,학력무관,정규직
15,대양전기공업(주),대양전기공업㈜ 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49758246&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,부산 강서구,신입·경력,학력무관,정규직
16,(주)풍산에프앤에스,[풍산FNS] 각 부문별 신입/경력 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50044318&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,충남 논산시,경력무관,대졸↑,정규직
17,(주)디지트론,신입 및 경력 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49931142&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 성남시 분당구,신입·경력,학력무관,정규직·전문연구요원
18,코츠테크놀로지㈜,[분당/코스닥] SW 개발(임베디드/응용소프트웨어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50049391&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 성남시 분당구,경력무관,대졸↑,정규직
19,(주)파이버프로,2025년도 부문별 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49834041&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,신입·경력,대졸↑,정규직
20,(주)제이랩스,[제이랩스] 총무팀(경영지원본부) 경력직 채용(경북 구미시),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50022883&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경북 구미시,경력3년↑,초대졸↑,정규직
21,아이쓰리시스템(주),하드웨어 설계 및 펌웨어 개발 부문,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50045570&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,신입,대졸↑,정규직
22,(주)에스제이시스템,에스제이시스템 정규직 인원 모집(00명),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50055460&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경남 함안군,경력무관,학력무관,정규직
23,(주)이지트로닉스,전기차(EV) 전력전자DCDC Converter HW 및 SW 개발자 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50044390&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 화성시,신입·경력,대졸↑,정규직
24,(주)이오시스템,(주)이오시스템 마곡종합연구소 R&D 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49821079&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 강서구,경력3년↑,대졸↑,정규직
25,알에프코어(주),[알에프코어]RFcore 연구소 신입 및 경력 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49860708&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 성남시 분당구,경력무관,초대졸↑,정규직
26,㈜동아일렉콤,전산실 전산담당자 채용의 건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50023833&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 용인시 처인구,경력 3~10년,초대졸↑,정규직·인턴직
27,(주)스페이스솔루션,[SSC 대전 본사] IT/정보보안 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49967973&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력,초대졸↑,정규직
28,연합정밀(주),연합정밀(주) 기술연구소 연구직(개발직) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49837851&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,충남 천안시 동남구,경력무관,대졸↑,정규직
29,한국전광(주),"[한국전광]광학설계, 기구설계, 전자하드웨어, 펌웨어 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49955495&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,인천 계양구,경력무관,학력무관,정규직
30,(주)픽소니어,하드웨어 개발자 모집(대전),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49932949&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력무관,초대졸↑,정규직
31,(주)유니온,(주)유니온 설계 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49737312&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,부산 영도구,신입·경력,대졸↑,정규직
32,(주)씨앤지마이크로웨이브,연구소 안테나 개발(신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49852353&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,신입·경력,대졸↑,정규직
33,(주)블루텍,S/W 개발 (신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49874225&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,신입·경력,대졸↑,정규직
34,(주)블루텍,S/W 개발(1~5년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49874223&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,경력 1~5년,대졸↑,정규직
35,(주)유니버설에어로앤트레이딩,항공전자부품정비(MRO) /회로설계/시스템 설계 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49949580&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력무관,고졸↑,정규직
36,(주)보명아이엔씨,[기구 설계] 정규직 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49820185&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 수원시 영통구,경력무관,학력무관,정규직
37,루미르(주),인공위성기업 디지털 하드웨어 개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054046&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기전체,신입·경력,대졸↑,정규직
38,루미르(주),인공위성기업 Antenna 설계 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054049&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기전체,신입·경력,대졸↑,정규직
39,올제텍(주),시스템 SW 개발자 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50063564&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,경력 3~10년,초대졸↑,정규직
40,(주)링크솔루션,(주)링크솔루션 3D프린터 기술 개발 (연구직) 하반기 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50021511&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 안양시 동안구,경력무관,대졸↑,정규직
41,아토즈,H/W 개발 엔지니어 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49943706&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경북 구미시,경력,초대졸↑,정규직
42,(주)인프리즘,기구설계파트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49968990&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력무관,대졸↑,정규직
43,(주)제이랩스,[제이랩스] F/W 연구개발 경력 채용(경북 구미시/책임급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49926477&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대구전체,경력8년↑,초대졸↑,정규직
44,(주)옵트에이아이,임베디드 AI SW 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49947263&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 강서구,신입·경력,대졸↑,정규직
45,씨케이랩,2025년 [기업부설연구소] 자동제어·설계·전자회로 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49970004&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력 2~10년,대졸↑,정규직
46,인텔릭스(주),인텔릭스(주) 하드웨어(H/W) 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49742698&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 성남시 분당구,경력 3~8년,대졸↑,정규직
47,(주)넥스윌,(주)넥스윌 하드웨어 개발  모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49969058&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력무관,학력무관,정규직
48,알에프에이치아이씨(주),[경력] 정보보안 운용 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49824036&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 과천시,경력 5~10년,대졸↑,정규직
49,(주)펀진,C# Winform/WPF 개발자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49890269&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 성동구,경력5년↑,대졸↑,정규직
50,(주)휴센텍,[경력/신입] 기술연구소 연구직 채용 모집 건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49820197&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 안양시 동안구,경력무관,초대졸↑,정규직
51,(주)테라시스,"[2025년 상반기]  임베디드 S/W 개발 경력자 (MCU, AP, FPGA)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49885924&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 의왕시,신입·경력,초대졸↑,정규직
52,(주)니어스랩,항공 및 로보틱스 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49931960&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울전체,경력 3~10년,대졸↑,정규직
53,피에이티씨(주),[피에이티씨(주)] IETM 사업부 신입/경력 정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50006109&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 구로구,경력무관,학력무관,정규직
54,(주)옵트에이아이,(병역특례가능) 임베디드 AI SW 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49972187&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 강서구,경력무관,대졸↑,정규직·전문연구요원
55,엘씨텍(주),F/W 하드웨어 책임급(팀장급)채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49862402&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경북전체,경력 10~20년,대졸↑,정규직
56,엘씨텍(주),하드웨어 설계 SUB  팀원급(연구원) 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49862417&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경북전체,신입·경력,대졸↑,정규직
57,엘씨텍(주),하드웨어 설계  프로급 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49862408&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경북전체,경력 5~10년,대졸↑,정규직
58,(주)뮤트로닉스,하드웨어 개발  우수인력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49821674&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 안성시,신입·경력,대졸↑,정규직
59,티비티(주),하드웨어 개발 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49925565&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,인천 계양구,경력 3~10년,초대졸↑,정규직
60,(주)백두테크,강소기업) 윈도우 프로그램 설계/개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49879269&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경북 구미시,경력1년↑,학력무관,정규직
61,(주)백두테크,"강소기업) FPGA, H/W 설계 및 개발자 경력직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49879079&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경북 구미시,경력2년↑,학력무관,정규직
62,(주)씨앤지마이크로웨이브,연구소 안테나 개발(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49852334&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,신입·경력,대졸↑,정규직
63,씨에이이큐브(주),구조해석  및 동력학 해석  CAE 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49710579&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 안양시 동안구,경력3년↑,석사↑,정규직·계약직
64,(주)씨앤지마이크로웨이브,[S/W]응용소프트웨어 개발 모집(경력5년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49868243&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,경력 5~5년,초대졸↑,정규직
65,(주)씨앤지마이크로웨이브,[S/W]응용소프트웨어 개발 모집(경력2~4년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49868226&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,경력 2~4년,초대졸↑,정규직
66,(주) 비스타컴,(주)비스타컴 상반기 FPGA 엔지니어 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50019759&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 안양시 동안구,경력5년↑,대졸↑,정규직
67,(주)설텍,전력전자 H/W 개발(5년~9년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49868679&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대구전체,경력 5~9년,학력무관,정규직
68,(주)설텍,전력전자 H/W 개발(1년~4년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49868677&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대구전체,경력 1~4년,학력무관,정규직
69,(주)설텍,전력전자 H/W 개발(10년~14년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49868692&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대구전체,경력 10~14년,학력무관,정규직
70,(주)블루텍,S/W 개발(6~10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49874207&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,경력 6~10년,대졸↑,정규직
71,(주)서림테크놀로지,연구개발(S/W) 경력5년 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49874107&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울전체,경력 5~10년,초대졸↑,정규직
72,올제텍(주),HW 회로설계 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49813856&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,경력 3~10년,초대졸↑,정규직
73,올제텍(주),시스템 SW 개발자 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49813859&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,경력 3~10년,초대졸↑,정규직
74,루미르(주),인공위성기업 [루미르] FPGA 로직 개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054051&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기전체,경력 5~20년,대졸↑,정규직
75,루미르(주),인공위성기업 전력전자 하드웨어 개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054044&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기전체,경력 5~15년,대졸↑,정규직
76,올제텍(주),HW 회로설계 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50063552&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전전체,경력 3~10년,초대졸↑,정규직
77,(주)니어스랩,임베디드 소프트웨어 (센서 통합),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49931968&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울전체,경력 3~10년,대졸↑,정규직
78,(주)니어스랩,임베디드 소프트웨어_카메라&통신 모듈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49931971&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울전체,경력 3~10년,대졸↑,정규직
79,(주)핀커스코리아,반도체 부품 기술영업 (영어 가능자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50021467&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 성남시 분당구,경력 4~15년,초대졸↑,정규직
