,회사명,채용공고사항,링크,지역,경력,학력,월급
1038,(주)페이타랩,iOS 개발자 (신입~5년↓),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49869539&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,신입·경력,학력무관,정규직
1039,(주)페이타랩,웹 프론트엔드 개발자 (경력 11년↑),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49869675&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 11~20년,학력무관,정규직
1040,센시리온오토모티브솔루션즈코리아(주),소프트웨어 연구개발 5~7년 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49869978&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울전체,경력 5~7년,대졸↑,정규직
1041,센시리온오토모티브솔루션즈코리아(주),R&D 개발 책임급 엔지니어[외국계기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49870006&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울전체,경력 8~10년,대졸↑,정규직
1042,(주)페이타랩,웹 프론트엔드 개발자 (경력 5~10년↓),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49870027&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 5~10년,학력무관,정규직
1043,(주)더블미디어,백엔드 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49872982&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 3~10년,학력무관,정규직
1044,(주)킥더허들,핏타민 풀스택 개발자 채용(서울),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49942293&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경남전체,경력 3~20년,초대졸↑,정규직
1045,(주)와탭랩스,DB 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49947697&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 서초구,경력 5~20년,학력무관,정규직
1046,(주)와탭랩스,데브옵스 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49947307&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 서초구,경력 5~12년,학력무관,정규직
1047,(주)와탭랩스,QA 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49947601&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 서초구,경력 5~12년,학력무관,정규직
1048,(주)에바,전기차 충전 백엔드 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49960789&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경기전체,경력 5~10년,학력무관,정규직
1049,솔트웨어(주),[경력] 영업/개발/엔지니어/SA등 부문별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49965593&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경기 과천시,경력3년↑,학력무관,정규직
1050,(주)씨큐비스타,네트워크 보안(NDR) 엔지니어 채용 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49976384&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경기 성남시 분당구,경력3년↑,초대졸↑,정규직
