,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
26,(주)세중아이에스,업력 19년차,스타트업,9명,응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업,"3,122","2,547","5,351",-1.98,낮음,"20억 4,524만원","22억 5,345만원","26억 2,866만원","18억 7,455만원","1억 5,467만원","2억 9,867만원",2억 345만원,3억 746만원
27,(주)모닛,업력 9년차,스타트업,5명,전기ㆍ전자공학 연구개발업,"전자전기기계기구,통신기계기구,유아용품 연구개발,의류,유아용품,전자전기기계기구,통신기계기구,의류,유아용품,전자전기기계기구,통신기계기구,수출입","5,207","3,203","6,618",1.09,낮음,"17억 1,072만원","17억 6,968만원","15억 2,101만원","14억 4,078만원","- 6억 4,379만원","- 6억 4,648만원","- 5억 1,521만원","- 8,338만원"
28,(주)데이타뱅크,업력 24년차,중소기업,48명,응용 소프트웨어 개발 및 공급업,"정보통신관련소프트웨어 개발,유지보수/컴퓨터,주변기기 도소매/주차장 운영/부동산 임대","4,891","2,913","6,248",2.17,보통,"140억 8,004만원","208억 9,569만원","146억 6,401만원","158억 3,774만원","- 4억 9,257만원","2,957만원","3억 2,111만원","- 1억 8,957만원"
29,(주)디플로,업력 2년차,중소기업,4명,시각 디자인업,"시각 디자인업,제책업,컴퓨터 프로그래밍 서비스업,광고 대행업,광고물 문안, 도안, 설계 등 작성업,전시, 컨벤션 및 행사 대행업,제품 디자인업,미디어콘텐츠창",,,,,,,,,,,,,
30,(주)한울네오텍,업력 18년차,중소기업,10명,그 외 기타 전자부품 제조업,"전기,전자부품 제조/컴퓨터주변기기,시스템프로그램 도소매,무역,전자상거래/소프트웨어 개발,공급","3,825","2,694","5,422",-2.27,낮음,"3억 8,226만원",8억 994만원,"5억 1,806만원","5억 8,115만원","1,051만원","2억 4,913만원","3,585만원","6,441만원"
31,티쓰리큐(주),업력 19년차,중소기업,69명,응용 소프트웨어 개발 및 공급업,"전산시스템개발자문및유지보수,컴퓨터시스템 통합 자문 및 구축 서비스업,컴퓨터시설 관리업,컴퓨터 프로그래밍 서비스업,연구개발업,의학 및 약학 연구개발업,","5,187","2,997","6,921",4.3,높음,"44억 9,134만원","150억 7,299만원","107억 8,777만원","74억 5,984만원","8,830만원","5억 3,608만원","5억 7,763만원",- 34억 705만원
32,(주)이튜,업력 18년차,중소기업,69명,응용 소프트웨어 개발 및 공급업,소프트웨어개발공급,"5,304","3,030","6,643",10.73,높음,99억 205만원,"99억 5,507만원","94억 2,760만원","107억 4,913만원","2억 6,210만원","2억 7,987만원","3억 7,679만원",4억 111만원
33,(주)이든티앤에스,업력 17년차,중소기업,112명,응용 소프트웨어 개발 및 공급업,"소프트웨어,하드웨어 개발/컴퓨터,유선통신장비 제조/컴퓨터 도소매,전자상거래/컴퓨터 운영,교육서비스","6,454","3,414","7,566",5.92,높음,"494억 1,687만원","468억 6,391만원","449억 7,254만원","368억 9,028만원","- 31억 9,116만원","- 5억 1,265만원","- 27억 8,015만원","4억 5,080만원"
34,아진산업(주),업력 48년차,스타트업,649명,자동차 차체용 신품 부품 제조업,"자동차부품(프레스제품),차체부품,영상기기(자동차용) 제조/소프트웨어 개발,공급","6,906","3,643","7,427",3.12,"매우
낮음",,,,,,,,
35,경북대학교병원,업력 119년차,기타,165명,종합 병원,"종합병원,주차장 운영","4,307","2,812","5,763",3.29,높음,"5,930억 4,344만원","7,137억 1,721만원","7,346억 4,996만원","7,723억 3,757만원","- 509억 7,809만원","- 529억 4,654만원","- 454억 6,423만원","- 590억 7,717만원"
36,(주)케이오웹,업력 8년차,중소기업,7명,컴퓨터 프로그래밍 서비스업,"홈페이지 제작/자료처리,호스팅","3,591","2,494","5,734",4.82,낮음,"5억 8,510만원","11억 3,952만원","9억 4,813만원","7억 5,664만원","- 3억 3,895만원","1억 1,618만원","5,146만원","2,548만원"
37,(주)코리아와이드아이티에스,업력 22년차,스타트업,17명,컴퓨터 프로그래밍 서비스업,,"3,486","2,461","5,676",1.75,낮음,"26억 6,795만원","26억 6,127만원","35억 1,053만원","37억 4,350만원","6,755만원","6,481만원","1억 1,111만원","1억 8,033만원"
38,(주)제이에스시스템,업력 22년차,중소기업,31명,응용 소프트웨어 개발 및 공급업,소프트웨어　개발,"5,523","3,095","7,164",4.62,"매우
낮음","36억 3,824만원","29억 3,324만원","27억 1,134만원","31억 4,775만원","3억 8,275만원","5억 2,848만원","4억 4,685만원","5억 5,900만원"
